Date,Open,High,Low,Close
5/20/14,41836.48047,42001.67969,41668.82813,41805.10156
5/21/14,41805.10156,42056.89844,41764.89844,41828.98047
5/22/14,41827.60156,42090.28125,41813.14844,41943.96094
5/23/14,41946.94922,42035.69922,41818.41016,41917.92188
5/26/14,41918.57031,42138.32813,41896.14844,42004.57813
5/27/14,42005.28906,42144.25,41836.80078,41958.96875
5/28/14,41958.26953,42022.16016,41862.42969,41960.44922
5/29/14,41960.66016,42095.80078,41884.12109,42009.92188
5/30/14,42011.66016,42026.55859,41360.80859,41362.51172
6/2/14,41375.41016,41953.98828,41375.41016,41936.71094
6/3/14,41938.82813,42135.53125,41807.67969,42126.08984
6/4/14,42127.89844,42127.89844,41855.05078,41953.30078
6/5/14,41956.67969,42276.67969,41949.23047,42173.03125
6/6/14,42173.03125,42840.41016,42164.35156,42778.26172
6/9/14,42780.85156,43175.76953,42729.66016,43009.98828
6/10/14,43009.19141,43049.03906,42821.67969,43045.26953
6/11/14,43044.89063,43079.07031,42759.37891,42944.80859
6/12/14,42946.32031,43016.48047,42551.92969,42617.62109
6/13/14,42602.92188,42874.35938,42485.62891,42485.66016
6/16/14,42523.32813,42641.10938,42321.37109,42596.25
6/17/14,42593.23047,42657.35156,42446.46875,42612.64063
6/18/14,42612.78125,42821.25,42525.57031,42802.60156
6/19/14,42800.64844,43007.71094,42787.10938,42957.35938
6/20/14,42959.82813,43038.57813,42787.64063,42865.71875
6/23/14,42865.71875,42948.64844,42691.35156,42916.73047
6/24/14,42915.03906,43016.76172,42785.62109,42884.76172
6/25/14,42885.66016,42930.01172,42786.37109,42854.19141
6/26/14,42864.85156,42916.53906,42613.39063,42613.80078
6/27/14,42613.25,42933.69922,42481.30078,42493.85938
6/30/14,42508.07813,42795.14844,42487.46875,42737.17188
7/1/14,42744.94922,42944.62109,42602.17969,42872.83984
7/2/14,42870.89844,43279.48047,42817.96094,43279.48047
7/3/14,43286.30859,43721.76953,43228.21875,43660.69922
7/4/14,43660.96094,43669.78906,43485.17969,43518.05859
7/7/14,43517.94922,43705.96094,43433.19922,43452.55078
7/8/14,43451.96875,43495.39063,43147.67188,43403.42969
7/9/14,43394.41016,43821.53125,43353.78906,43686.75
7/10/14,43688.62891,43690.98047,43316.19922,43474.28906
7/11/14,43471.57813,43694.10938,43437.66016,43481.82813
7/14/14,43474.73047,44001.19141,43474.73047,43967.44141
7/15/14,43967.35938,44077.5,43862.83984,43960.42969
7/16/14,43968.46875,44133.23047,43809.01172,44009.23047
7/17/14,44011.69141,44083.91016,43837.25,43920.76172
7/18/14,43920.76172,44312.87109,43822.57813,44278.89844
7/21/14,44275.80078,44275.80078,44023.69141,44125.73047
7/22/14,44123.55859,44512.39063,44123.55859,44257.08984
7/23/14,44258.91016,44371.25,44156.26953,44199.01172
7/24/14,44206.39844,44564.17188,44201.17969,44420.37891
7/25/14,44426.67188,44559.78125,44272.39063,44386.62109
7/28/14,44394.55078,44559.28906,44336.94141,44544.96875
7/29/14,44550.44141,44684.55859,44452.87891,44481.28906
7/30/14,44479.10156,44714.41016,44271.25,44311.05859
7/31/14,44311.87891,44349.80078,43546.01953,43817.69141
8/1/14,43819.42969,44094.82813,43706.82031,43986.10938
8/4/14,43983.78125,44676.10938,43982.94922,44594.66016
8/5/14,44605.60938,44674.94922,44310.12109,44481.67969
8/6/14,44481.53125,44550.28906,44251.32031,44425.76953
8/7/14,44435.33984,44541.12891,44064.19141,44116.14844
8/8/14,44124.08984,44271.07031,43885.42969,44105.94922
8/11/14,44121,44720.41016,44121,44679.16016
8/12/14,44673.10938,44869.23828,44609.53906,44734.03906
8/13/14,44739.23828,44974.96094,44713.46875,44723.96094
8/14/14,44740.64844,44878.69922,44665.96094,44793.01953
8/15/14,44793.82031,44863.82031,44474.46875,44629.32813
8/18/14,44637.26953,44871.23828,44637.26953,44854.80859
8/19/14,44852.78906,45000.62109,44717.87891,44962.87891
8/20/14,44970.26953,45250.05859,44808.10938,45248.05078
8/21/14,45242.30078,45429.53906,45160.39844,45410.35938
8/22/14,45420.48828,45517.14063,45172.44141,45374.98828
8/25/14,45380.51172,45575.26953,45351.46094,45504.33984
8/26/14,45510.07813,45657.57031,45416.12891,45464.75
8/27/14,45469.67969,45619.37891,45417.48828,45601
8/28/14,45596.62109,45598.32031,45348.41016,45501.28125
8/29/14,45485.73047,45762.37109,45397.19141,45628.08984
9/1/14,45630.71875,45664,45317.76953,45438.03906
9/2/14,45438.10938,45830.53906,45409.58984,45825.05859
9/3/14,45819.69141,46065.42188,45819.69141,46049.32813
9/4/14,46049.32813,46331.89844,46042.55078,46313.39844
9/5/14,46322,46406.5,46224.69141,46231.44141
9/8/14,46232.16016,46554.28125,46199.10156,46357.23828
9/9/14,46354.82031,46427.89844,45887.19922,45915.17188
9/10/14,45906.57031,46109.10156,45745.23828,45894.05078
9/11/14,45889.51172,45908.16016,45625.76172,45672.60156
9/12/14,45654.48828,45861.62109,45434.14844,45799.69922
9/15/14,45797.82031,46133.37891,45661.21875,45861.83984
9/17/14,45861.57031,46147.39844,45859.01953,46043.62109
9/18/14,46048.98828,46170.37891,46025.80078,46168.64063
9/19/14,46169.92188,46230.10156,45646.01953,45761.89844
9/22/14,45760.96875,45767.67188,45060.30078,45302
9/23/14,45302.80859,45406.98047,44834.21875,45015.17188
9/24/14,45016.66016,45266.46875,44991.12109,45116.94141
9/25/14,45119.48047,45150.69922,44624.05859,44781.12109
9/26/14,44788.37891,44986.92188,44695.12891,44884.32813
9/29/14,44884.32813,44918.39844,44426.60156,44898.19141
9/30/14,44902.82031,45051.91016,44769.30078,44985.66016
10/1/14,44985.39063,45058.05078,44364.96094,44364.96094
10/2/14,44370.03906,44374.57813,43941.64844,44254.42969
10/3/14,44255.23047,44719.87109,44255.23047,44678.14063
10/6/14,44678.32813,45223,44645.62109,44820.85156
10/7/14,44826.21875,44845.92969,44466.76172,44536.62109
10/8/14,44562.78906,44717.05078,44123.96875,44487.96875
10/9/14,44494.71875,44609.62109,44049.48828,44082.17188
10/10/14,44082.12109,44082.12109,43435.33984,43435.73047
10/13/14,43430.35938,43560.78906,43088.67188,43088.67188
10/14/14,43090.82031,43338.71094,43068.05859,43179.85156
10/15/14,43174.73828,43174.73828,42431.14063,42984.94922
10/16/14,42964.01172,43144.92188,42524.39063,42907.62109
10/17/14,42916.76172,43580.78906,42916.76172,43273.5
10/20/14,43262.48047,43373.5,42995.98047,43213.89844
10/21/14,43212.28125,43725.23828,43117.26953,43630.57813
10/22/14,43631.92188,43806.16016,43434.89063,43450.75
10/23/14,43456.55078,43869.17969,43456.55078,43691.05859
10/24/14,43684.28125,43822.12109,43543.69141,43665.53906
10/27/14,43663.25,43813.46875,43393.05078,43810.51172
10/28/14,43808.80078,44202.19141,43774.76172,44039.64063
10/29/14,44033.73047,44308.05859,43938.26953,44238.94141
10/30/14,44244.85938,44599.26953,44067.96094,44599.26953
10/31/14,44599.05859,45159.48828,44598.67969,45027.51953
11/3/14,45029.46094,45211.73828,44913.96875,45184.76172
11/4/14,45181.71875,45202.01953,44855.28906,44884.42969
11/5/14,44888.73828,45151.82031,44818.57813,45071.98047
11/6/14,45080.76172,45199.14063,44849.57031,44849.85938
11/7/14,44841.78906,44878.28125,44614.44922,44614.66016
11/10/14,44615.26953,44727.55859,44450.58984,44523
11/11/14,44523,44637.07031,44177.32031,44300.82813
11/12/14,44300.53906,44363.73047,43606,43744.57031
11/13/14,43744.69922,43888.26172,43524.62109,43743.80078
11/14/14,43759.67188,43762.12891,43296.64063,43372.01172
11/18/14,43366.08984,43569.32813,43336.10938,43491.44922
11/19/14,43491.44922,44122.17188,43491.44922,44118.12891
11/20/14,44114.89844,44209.92969,43955.78906,44209.42188
11/21/14,44206.23047,44910.03906,44206.23047,44633.28125
11/24/14,44638.66016,44755.73047,44563.14844,44621.07031
11/25/14,44621.48047,44768.37891,44436.85156,44441.01953
11/26/14,44438.05859,44713.42188,44422.82813,44672.19922
11/27/14,44667.62109,44732.05078,44608.62109,44689.21094
11/28/14,44688.96094,44725.64844,44138.28125,44190.46875
12/1/14,44179.21094,44248.10938,43389.83984,43392.07031
12/2/14,43403.89063,43550.23828,42902.46094,43008.07031
12/3/14,43017.46875,43317.89844,42628.16016,43112.28906
12/4/14,43112.55859,43142.21094,42728.05078,42816.14844
12/5/14,42821.25,43293.53125,42799.14063,43230.33984
12/8/14,43253.17969,43399.44141,42746.67188,42941.82813
12/9/14,42940.76172,42940.76172,42137.41016,42339.62891
12/10/14,42339.89063,42379.80078,41295.26953,41372.66016
12/11/14,41372.92188,42025.5,41345.48828,41714.57031
12/15/14,41718.32813,41718.48828,40125.53125,40334.58984
12/16/14,40337.26953,40844.35938,39580.78125,40225.07813
12/17/14,40225.51172,41354.62891,40176.01953,41004.44141
12/18/14,41011.69922,42721.33984,41011.69922,42475.67188
12/19/14,42483.46094,42810.17969,42403.67188,42529.89063
